Id,SalePrice
1461,140687.5
1462,131125.0
1463,181750.0
1464,185625.0
1465,185000.0
1466,195850.0
1467,139125.0
1468,193911.75
1469,162250.0
1470,130125.0
1471,171421.5
1472,117750.0
1473,117475.0
1474,173625.0
1475,119875.0
1476,280248.25
1477,203000.0
1478,296303.0
1479,261375.0
1480,488498.5
1481,257371.5
1482,163100.0
1483,140562.5
1484,157500.0
1485,184600.0
1486,184600.0
1487,205750.0
1488,235776.25
1489,173625.0
1490,181000.0
1491,189750.0
1492,101120.0
1493,187250.0
1494,215375.0
1495,195125.0
1496,137125.0
1497,186475.0
1498,141125.0
1499,155725.0
1500,153600.0
1501,136000.0
1502,179225.0
1503,188500.0
1504,182625.0
1505,184500.0
1506,121275.0
1507,158250.0
1508,226625.0
1509,144812.5
1510,146937.5
1511,126625.0
1512,138612.5
1513,170500.0
1514,135035.0
1515,137875.0
1516,154000.0
1517,160537.5
1518,157800.0
1519,200750.0
1520,119627.0
1521,134250.0
1522,157875.0
1523,105500.0
1524,117250.0
1525,131562.5
1526,117250.0
1527,129937.5
1528,137375.0
1529,124100.0
1530,169450.0
1531,152625.0
1532,100625.0
1533,133725.0
1534,133252.25
1535,135125.0
1536,130057.5
1537,131250.0
1538,132876.0
1539,158250.0
1540,94875.0
1541,111000.0
1542,132125.0
1543,142608.5
1544,119562.5
1545,111725.0
1546,146500.0
1547,155000.0
1548,116750.0
1549,130125.0
1550,153250.0
1551,132350.0
1552,111100.0
1553,85600.0
1554,127500.0
1555,162975.0
1556,111000.0
1557,101375.0
1558,115250.0
1559,110625.0
1560,117562.5
1561,139850.0
1562,143625.0
1563,128187.5
1564,155440.0
1565,171950.0
1566,215650.0
1567,85375.0
1568,182475.0
1569,130750.0
1570,139225.0
1571,131000.0
1572,131325.0
1573,191250.0
1574,123725.0
1575,234200.0
1576,195125.0
1577,186750.0
1578,137000.0
1579,142875.0
1580,194000.0
1581,139375.0
1582,132725.0
1583,205981.5
1584,179125.0
1585,143625.0
1586,98875.0
1587,99000.0
1588,124350.0
1589,100350.0
1590,140375.0
1591,103125.0
1592,167975.0
1593,133850.0
1594,114625.0
1595,104000.0
1596,174950.0
1597,139500.0
1598,167375.0
1599,158750.0
1600,166975.0
1601,117250.0
1602,127475.0
1603,107475.0
1604,282125.0
1605,190225.0
1606,194296.5
1607,168525.0
1608,175250.0
1609,175250.0
1610,159562.5
1611,150437.5
1612,126996.25
1613,169000.0
1614,130490.0
1615,109125.0
1616,119250.0
1617,140475.0
1618,129750.0
1619,137350.0
1620,148175.0
1621,145625.0
1622,130800.0
1623,215250.0
1624,204850.0
1625,131562.5
1626,198250.0
1627,176125.0
1628,218325.0
1629,186725.0
1630,183725.0
1631,153625.0
1632,185975.0
1633,178200.0
1634,154350.0
1635,164250.0
1636,167250.0
1637,168100.0
1638,193975.0
1639,192587.5
1640,253437.5
1641,208500.0
1642,142600.0
1643,175500.0
1644,185600.0
1645,152625.0
1646,156625.0
1647,160975.0
1648,125625.0
1649,130350.0
1650,125875.0
1651,148000.0
1652,97625.0
1653,116475.0
1654,168850.0
1655,218050.0
1656,157525.0
1657,164250.0
1658,160000.0
1659,164750.0
1660,152375.0
1661,477039.25
1662,283312.5
1663,385363.25
1664,395215.25
1665,257229.75
1666,354182.0
1667,339909.5
1668,355423.0
1669,349212.0
1670,366090.25
1671,191725.0
1672,430338.75
1673,173100.0
1674,220525.0
1675,186500.0
1676,200475.0
1677,176600.0
1678,392090.25
1679,356558.25
1680,315490.25
1681,307479.75
1682,347481.5
1683,174850.0
1684,184475.0
1685,187535.0
1686,151250.0
1687,170725.0
1688,170350.0
1689,193750.0
1690,169500.0
1691,184750.0
1692,207681.25
1693,138750.0
1694,142100.0
1695,186433.75
1696,196375.0
1697,175433.75
1698,209875.0
1699,231350.0
1700,192250.0
1701,212500.0
1702,197871.25
1703,180750.0
1704,263750.0
1705,233625.0
1706,485879.5
1707,195895.0
1708,185375.0
1709,237223.75
1710,239283.0
1711,177625.0
1712,231125.0
1713,212750.0
1714,157750.0
1715,182500.0
1716,163250.0
1717,138350.0
1718,101225.0
1719,186500.0
1720,170625.0
1721,146475.0
1722,94250.0
1723,125875.0
1724,193000.0
1725,193000.0
1726,189500.0
1727,184000.0
1728,153875.0
1729,203437.5
1730,125241.0
1731,127352.0
1732,125275.0
1733,119750.0
1734,136875.0
1735,125125.0
1736,117000.0
1737,213250.0
1738,209125.0
1739,141425.0
1740,162250.0
1741,190450.0
1742,133250.0
1743,170625.0
1744,240375.0
1745,133400.0
1746,172975.0
1747,209375.0
1748,228750.0
1749,207750.0
1750,150625.0
1751,158500.0
1752,117250.0
1753,118377.0
1754,265187.5
1755,183225.0
1756,138000.0
1757,136412.5
1758,167487.5
1759,151500.0
1760,183662.5
1761,151250.0
1762,166875.0
1763,154750.0
1764,105025.0
1765,151750.0
1766,155750.0
1767,227375.0
1768,134437.5
1769,150250.0
1770,146850.0
1771,128000.0
1772,127250.0
1773,142875.0
1774,140200.0
1775,134750.0
1776,131750.0
